,teks,label,clean_teks
0,"[PROMO] Beli paket Flash mulai 1GB di MY TELKOMSEL APP dpt EXTRA kuota 2GB 4G LTE dan EXTRA nelpon hingga 100mnt/1hr. Buruan, cek  di tsel.me/mytsel1 S&K",2,promo beli paket flash my telkomsel app dpt extra kuota g lte extra telpon mnthr buru cek tselmemytsel sk
1,2.5 GB/30 hari hanya Rp 35 Ribu Spesial buat Anda yang terpilih. Aktifkan sekarang juga di *550*905#. Promo sd 30 Nov 2015.Buruan aktifkan sekarang. S&K,2,rupiah ribu spesial pilih aktif promo sd november buru aktif sk
2,"2016-07-08 11:47:11.Plg Yth, sisa kuota Flash Anda 478KB. Download MyTelkomsel apps di http://tsel.me/tsel utk cek kuota&beli paket Flash atau hub *363#",2,langgan hormat sisa kuota flash kb download mytelkomsel apps httptselmetsel cek kuotabeli paket flash hub
3,"2016-08-07 11:29:47.Plg Yth, sisa kuota Flash Anda 7160KB. Download MyTelkomsel apps di http://tsel.me/tsel utk cek kuota&beli paket Flash atau hub *363#",2,langgan hormat sisa kuota flash kb download mytelkomsel apps httptselmetsel cek kuotabeli paket flash hub
4,4.5GB/30 hari hanya Rp 55 Ribu Spesial buat anda yang terpilih. Aktifkan sekarang juga di *550*907# Buruan..! SKB,2,rupiah ribu spesial pilih aktif buru skb
5,5 HARI LAGI ! EKSTRA Pulsa 50rb dg beli paket internet bulanan di MyTelkomsel utk pembelian pertama sjk 25Aug-25Sept. Cek detail promo di tsel.me/mytsel1,2,ekstra pulsa dg beli paket internet bulan mytelkomsel beli sjk augsept cek detail promo tselmemytsel
6,"Ada iRing dgn tarif Rp. 0,1/7hr (perpanjangan Rp. 3190/7hr) dari hits Armada - Pencuri Hati. Tekan *808*3*1*4*1# lalu OK/Call. Info: 100&111",2,iring dgn tarif rupiah hr panjang rupiah hr hits armada curi hati tekan okcall info
7,Akhir bulan harus tetap eksis loh! Internetan pake volume ultima 900MB/30hr. Hrga mulai Rp 35rb di *100*471#. Tarif&lokasi cek di tsel.me/fl,2,eks loh internetan pakai volume ultima mbhr hrga rupiah tariflokasi cek tselmefl
8,"Aktifkan iRing Coboy Jr - Terhebat. Tekan *808*7#. Info: 100&111 Ada hits terbaru dari NOAH - Jika Engkau. Aktifkan iRing nya di HP kamu. Ketik MG NOAH02 kirim ke 808 Info: 100&111 Berkah iRing Rp 1000 dr Yuni Shara - Akhirnya. Aktifkan iRing nya, Tkn *808*1*2*3# lalu Ok/Call. Raih THR PuluhanJt!. Berhenti: Unreg ke 808",2,aktif iring coboy jr hebat tekan info hits baru noah engkau aktif iring nya hp ketik mg noah kirim info berkah iring rupiah dr yuni shara aktif iring nya tkn okcall raih thr puluhanjt henti unreg
9,Ambil bonus harianmu di *600# (Bebas Pulsa). Dptkan gratis nelpon atau internetan dan promo lainnya sesuai hobimu!,2,ambil bonus hari bebas pulsa dptkan gratis telpon internetan promo sesuai hobi
